"% negative,",cik,filingdate
2.76875356556019,12927,2010-02-08
2.0210976988721483,101829,2010-02-11
1.1396336665804665,66740,2010-02-16
0.647461345591308,30554,2010-02-17
1.7261575707589512,86312,2010-02-18
4.121938241641298,18230,2010-02-19
3.4689628473442946,40545,2010-02-19
2.40101016399576,50863,2010-02-22
1.0707908771230783,51143,2010-02-23
2.7067073692194996,19617,2010-02-24
1.9351885003903244,1103982,2010-02-25
2.831039696168776,732717,2010-02-25
3.73187414500684,93410,2010-02-25
2.154200754793445,21344,2010-02-26
1.6183564690969394,34088,2010-02-26
1.8912482556544623,4962,2010-02-26
3.0633807878633963,63908,2010-02-26
1.4234550663622276,70858,2010-02-26
3.0919257139053453,732712,2010-02-26
2.4845785914563745,78003,2010-02-26
3.7401294958450184,200406,2010-03-01
2.049640321615876,310158,2010-03-01
5.183871839850112,354950,2010-03-25
3.90784052836601,104169,2010-03-30
8.992625754831725,789019,2010-07-30
8.085608617608402,80424,2010-08-13
8.805600580742038,858877,2010-09-21
9.952479405487917,47217,2010-12-15
6.065164219577192,30554,2011-02-08
10.187586802547363,12927,2011-02-09
9.223251653654604,101829,2011-02-10
8.456194987109901,66740,2011-02-16
10.404767562681428,86312,2011-02-17
17.70939859090512,50863,2011-02-18
6.741621761354022,18230,2011-02-22
6.833462562127831,51143,2011-02-22
12.339906839057944,93410,2011-02-24
11.642939935209675,200406,2011-02-25
7.490397956926542,34088,2011-02-25
12.28252429817706,40545,2011-02-25
9.409491561987794,63908,2011-02-25
12.319282822474737,70858,2011-02-25
9.636072356636477,1103982,2011-02-28
21.62167246903909,19617,2011-02-28
11.707416341351152,21344,2011-02-28
14.347342677755195,310158,2011-02-28
11.04649679206766,4962,2011-02-28
11.311316091050044,732712,2011-02-28
10.720697100908355,78003,2011-02-28
8.918252765223142,732717,2011-03-01
9.037619724955485,354950,2011-03-24
9.235031553024474,104169,2011-03-30
1.713796966837375,789019,2011-07-28
1.3226923662924364,80424,2011-08-10
1.4721408458348568,858877,2011-09-14
1.3451963195269545,47217,2011-12-14
1.2138095818186094,101829,2012-02-09
1.7819703521042731,12927,2012-02-09
1.0976748109717964,30554,2012-02-09
0.8609120816503477,66740,2012-02-16
1.4521548870888683,86312,2012-02-16
0.7589771443544595,18230,2012-02-21
1.7984318767368053,200406,2012-02-23
1.7203191538673928,21344,2012-02-23
1.1441913467160036,50863,2012-02-23
1.8113290726634652,70858,2012-02-23
1.975064496121244,93410,2012-02-23
1.205826928370281,34088,2012-02-24
1.4865050342643702,40545,2012-02-24
1.1426642516884276,4962,2012-02-24
1.7188532964721437,63908,2012-02-24
1.6155352993519625,732712,2012-02-24
1.9589063413553869,732717,2012-02-24
1.683276670942509,1103982,2012-02-27
1.5410554817234483,310158,2012-02-28
0.8244607774869998,51143,2012-02-28
1.9417585513798965,78003,2012-02-28
1.7200965406016553,19617,2012-02-29
1.8270167756933795,354950,2012-03-22
1.6303499861440047,104169,2012-03-27
1.7907467776275918,789019,2012-07-26
1.3722138044319936,80424,2012-08-08
1.6618593095030467,858877,2012-09-12
1.3592135978469597,47217,2012-12-27
1.1411842872397742,101829,2013-02-07
1.1402088003755866,30554,2013-02-07
2.0955215220067114,731766,2013-02-07
1.8866326371397368,12927,2013-02-11
0.9728295077029612,66740,2013-02-14
2.1409244618953145,18230,2013-02-19
1.1772151037378278,50863,2013-02-19
1.4277929880852416,86312,2013-02-19
2.049799435276062,200406,2013-02-22
1.080691642651297,4962,2013-02-22
1.5749104968111038,732717,2013-02-22
1.8610778653679267,93410,2013-02-22
2.5484761505289684,63908,2013-02-25
1.4450949865805789,40545,2013-02-26
0.8112121216913061,51143,2013-02-26
1.7867239990991852,732712,2013-02-26
1.6807128062820167,21344,2013-02-27
0.6528765919477428,34088,2013-02-27
1.700862196285038,19617,2013-02-28
1.6520295331550992,310158,2013-02-28
1.8687735390879985,70858,2013-02-28
2.084086794337105,78003,2013-02-28
2.067671917707295,104169,2013-03-26
1.8033483592466668,354950,2013-03-28
4.432805314256515,320187,2013-07-23
7.5444963905304965,789019,2013-07-30
4.593767990788717,80424,2013-08-08
4.918209546368812,858877,2013-09-10
2.252452359165896,1403161,2013-11-22
1.1831114653408354,30554,2014-02-05
2.104574555869001,101829,2014-02-06
2.19967046541786,731766,2014-02-12
0.9832715715068656,66740,2014-02-13
1.4010047202831657,86312,2014-02-13
1.9110426579582964,12927,2014-02-14
2.190584788507316,50863,2014-02-14
2.2137831618398507,18230,2014-02-18
1.7667796233869608,19617,2014-02-20
2.0975462872327637,200406,2014-02-21
1.8354446131256064,732717,2014-02-21
1.9756740164391988,93410,2014-02-21
2.6046327691890823,63908,2014-02-24
1.076773383097221,4962,2014-02-25
0.8065420747951847,51143,2014-02-25
0.6962384933311702,34088,2014-02-26
1.785834172541121,21344,2014-02-27
1.9450369896220796,310158,2014-02-27
1.5807057605052368,40545,2014-02-27
1.8008267615199265,732712,2014-02-27
2.113895111015156,78003,2014-02-28
1.6284552336677869,886982,2014-02-28
2.1443364501312336,104169,2014-03-21
1.7919161957684873,354950,2014-03-27
2.1266919071898847,320187,2014-07-25
1.8005590133603162,789019,2014-07-31
1.5559419691392475,80424,2014-08-08
2.0096948506039416,858877,2014-09-09
2.120714608866898,1403161,2014-11-21
2.0140673679330816,101829,2015-02-05
1.2455626327989573,30554,2015-02-05
2.123278680648557,731766,2015-02-10
1.9176252394492097,12927,2015-02-12
1.0082360304157238,66740,2015-02-12
1.1608351450018457,86312,2015-02-12
2.183903771570592,50863,2015-02-13
2.1461320221254123,18230,2015-02-17
1.017042477895029,732717,2015-02-20
1.9192921413419444,93410,2015-02-20
1.733451931303604,732712,2015-02-23
1.6085543186412044,886982,2015-02-23
1.8759028342769852,19617,2015-02-24
2.075292334616663,200406,2015-02-24
1.0796732616090554,4962,2015-02-24
0.8467534083435538,51143,2015-02-24
2.538272789542287,63908,2015-02-24
1.8148273578066751,21344,2015-02-25
0.7701388247147938,34088,2015-02-25
1.9098324966704232,310158,2015-02-27
0.8971064587726354,40545,2015-02-27
2.125550308599205,78003,2015-02-27
1.869765110494736,354950,2015-03-26
2.1261380374729155,104169,2015-04-01
2.1176161929966666,320187,2015-07-23
1.9420884834940528,789019,2015-07-31
1.841214761328452,80424,2015-08-07
2.0622957878287718,858877,2015-09-08
2.021251642550701,320193,2015-10-28
2.229076018516106,1403161,2015-11-20
1.4303267977631107,30554,2016-02-04
2.2475688852905327,731766,2016-02-09
2.0155015937148493,12927,2016-02-10
2.129799702615237,101829,2016-02-11
0.8826674661136881,66740,2016-02-11
1.2529778329973016,86312,2016-02-11
2.3470125172455103,50863,2016-02-12
2.403380148700027,18230,2016-02-16
1.0376269606436612,4962,2016-02-19
1.9438373090957992,886982,2016-02-22
1.9926661304401436,19617,2016-02-23
0.8129685700000852,51143,2016-02-23
1.8726249344124144,732712,2016-02-23
2.242490728695416,200406,2016-02-24
0.8487610102734156,34088,2016-02-24
1.9001849134355664,21344,2016-02-25
2.514201075006108,63908,2016-02-25
2.033662481158651,93410,2016-02-25
2.081470383357701,310158,2016-02-26
0.9285583759365266,40545,2016-02-26
2.2062692663611605,78003,2016-02-29
1.9899413907809285,354950,2016-03-24
2.1169743448534453,104169,2016-03-30
2.178623655080913,320187,2016-07-21
1.923211599963984,789019,2016-07-28
1.9829590513015436,80424,2016-08-09
2.0355031936416594,858877,2016-09-08
2.1493726913162186,320193,2016-10-26
2.292934412778601,1403161,2016-11-15
1.413611177390705,30554,2017-02-02
1.986902099853045,12927,2017-02-08
2.1997364345770727,731766,2017-02-08
2.1034013038099606,101829,2017-02-09
0.8908672512332653,66740,2017-02-09
2.39621881722985,18230,2017-02-15
1.021650242298303,86312,2017-02-16
1.055132888695244,4962,2017-02-17
2.318597232277038,50863,2017-02-17
1.9445001001803248,732712,2017-02-21
0.7800805052285087,34088,2017-02-22
2.2141646942116346,78003,2017-02-23
2.036593296909289,93410,2017-02-23
1.872970903003233,21344,2017-02-24
0.8114495053761457,40545,2017-02-24
2.2219601256805337,200406,2017-02-27
2.5960533255053138,886982,2017-02-27
1.9456086381443691,19617,2017-02-28
2.0259061164110066,310158,2017-02-28
1.0316846582299646,51143,2017-02-28
2.2944870780383173,63908,2017-03-01
1.98987681424564,354950,2017-03-23
2.1905636448789934,104169,2017-03-31
2.1805481684615278,320187,2017-07-20
0.676236660130923,789019,2017-08-02
2.0402337133395507,80424,2017-08-07
2.03296822001858,858877,2017-09-07
2.3292777126655753,320193,2017-11-03
2.2787381847170027,1403161,2017-11-17
0.8966256094124334,66740,2018-02-08
2.137692377244344,101829,2018-02-09
2.0369496841661867,12927,2018-02-12
2.195427357700349,731766,2018-02-13
1.3383971829455603,1666700,2018-02-15
2.3745820856873543,18230,2018-02-15
1.0040967407428076,86312,2018-02-15
0.7534710418755713,4962,2018-02-16
2.2896747103758788,50863,2018-02-16
2.2307294933766277,200406,2018-02-21
2.253649035900874,78003,2018-02-22
2.032440465727684,93410,2018-02-22
1.8891893091002092,21344,2018-02-23
1.7358259435220895,40545,2018-02-23
2.26088149527775,63908,2018-02-23
2.050026110974789,732712,2018-02-23
3.4765546387603137,886982,2018-02-26
1.952149143496744,19617,2018-02-27
2.1025274768876723,310158,2018-02-27
1.0226677399321942,51143,2018-02-27
0.7831912432525062,34088,2018-02-28
2.0597310424276807,354950,2018-03-22
2.076225989298213,104169,2018-03-30
2.1762560156944484,320187,2018-07-25
0.6064234525084811,789019,2018-08-03
1.9024410312431341,80424,2018-08-07
2.0331573167662005,858877,2018-09-06
2.008446353909319,1618921,2018-10-11
2.2986593134924407,320193,2018-11-05
2.3056312770530654,1403161,2018-11-16
2.4472799057858663,50863,2019-02-01
2.062949192343272,101829,2019-02-07
0.8978493910418736,66740,2019-02-07
1.9313446090076276,12927,2019-02-08
1.312647757741337,1666700,2019-02-11
2.178234755479457,731766,2019-02-12
0.7420122472536287,4962,2019-02-13
2.3841186992879684,18230,2019-02-14
2.3907027791285125,86312,2019-02-14
2.0631718423675296,732712,2019-02-15
2.3727660761282183,200406,2019-02-20
1.8968624370408016,21344,2019-02-21
2.263044636304824,63908,2019-02-22
1.9974476448317549,93410,2019-02-22
1.8257556634020145,19617,2019-02-26
1.01433553998058,51143,2019-02-26
3.7285563535457404,886982,2019-02-26
2.0935102914311434,310158,2019-02-27
0.757307415312667,34088,2019-02-27
2.213873686630432,78003,2019-02-28
2.2777223011671994,104169,2019-03-28
2.0372353842160864,354950,2019-03-28
1.5359931543480585,320187,2019-07-23
0.6171606325867531,789019,2019-08-01
1.9325838305642944,80424,2019-08-06
2.0637220554151696,858877,2019-09-05
1.936833054949779,1618921,2019-10-28
2.051006298970656,320193,2019-10-31
2.0665842177295235,1403161,2019-11-14
1.9417037473143943,1744489,2019-11-20
